글번호,공개여부,제목,등록일,작성자,처리지사,진행현황,내용,답변자,답변내용
169941,공개,문의번호 169206번 관련입니다.,2020-01-30,정**,대전병원,처리완료,"문의5일만에 진심으로 위로해주신 김차장님 감사드립니다. 각설하고 제 질문에 이해를 못하시고 답변을 안해주신 부분이 있어 재차 질문드리니 답변바랍니다.  첫째, 받아오라고 해서 충대병원까지 가서 받아온 추가상병은 왜 한번도 치료를 해주지 않았는지, 둘째, 다른 환자들은 잘도 하는 입원 및 프래그램 연장이 왜 한번도 안됐는지 답변주세요. 이건 저번 질문에 답이 없어서 쓰는 것이니 5일까진 필요없겠죠?  병실이 없어 입원이 안된다고 해 통원치료하고, 특히나 9월초 신경외과 진료시 입원해야 한다고 빨리 짐챙겨오라고 했다가 갑자기 취소됐을때도, 근로복지공단에서 전화까지 와서 집중치료를 해주겠다고 했으니 최선을 다해주는 것이라고 믿으며 아무말 없이 따랐습니다.  오늘 진료실 앞을 지나가다 보니 욕설등을 하지말라는 문구가 보이더군요. 가끔씩 진료실 앞이 소란스러운 장면도 가끔씩 목도했구요. 가장 기분나쁜 것은 차별받고 무시받은 느낌입니다. 그 사람들도 이런 느낌이 아니었나 싶군요.",대전병원,"안녕하십니까? 근로복지공단 대전병원입니다. 귀하께서 인터넷 콜센터를 통해 신청하신 민원(문의번호-169941)과 2020년 2월3일 방문하시어 질문하신 내용에 대한 검토 결과를 다음과 같이 답변드립니다. 1. 우측발목염좌 추가상병에 대해 단순염좌로서 집중치료가 어렵고 단순치료는 1일 1회 1부위만 가능하며 본인께서 2부위 중 한 부위를 결정하여 받으시면 됩니다. (우측발목염좌 추가상병 승인 후 9/19일 진료시간에 주치의로부터 물리치료 받을 수 있도록 안내 받으신 걸로 파악 되었습니다) 2. 프로그램 연장건은 기 답변과 동일합니다. 3. 치료요양기간은 주치의 소견과 환자의 동의에 의해 결정되는 것으로 환자가 주치의 의견에 동의하지 못하는 경우 요양검토회의(외부전문가 포함)를 통해 진료기간이 결정됩니다. 귀하의 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 근로복지공단 대전병원 의료질관리실 김봉심 차장(042-670-5447)에게 연락주시면 친절히 안내 해 드리도록 하겠습니다. 감사합니다."
169870,공개,병원 이용자의 열체크에 대하여 세심한...,2020-01-30,이**,안산병원,처리완료,"근로복지공간 안산병원을 이용하는 사람입니다. 어제 병원에 다녀왔는데 최근 신종코로나바이러스 확산방지 및 예방조치를  병원 자체에서 다각적으로 노력하는 것을 보았습니다.  재활센터 내에서도 마스크 착용을 모두 하고 있었고 곳곳에 손소독제가 준비되어 있더군요.  그런데 한 가지 마음에 걸리는 부분이 있어 건의드립니다. 병원 1층 엘리베이터 이용하는 곳에서 귀에 넣는 체온계로 모든 병원 이용자의 열 체크를 하더군요. 알코올로 닦아서 귀에 넣었으면 좋겠는데 그냥 이 사람 저 사람 사용하더라구요.  귀에 상처가 있는 사람도 있을텐데.. 왠지 비위생적이고 꺼림직했습니다. 요즘에 비접촉 체온계도 많이 나오는 것 같은데 알코올로 일일히 닦아서 사용하시던지,  아님 비접촉체온계를 사용하시던지 해야할 것 같네요. 세심한 조치 부탁드립니다.",안산병원,    고객님 안녕하십니까?저의 병원에 대해 관심있게 봐주시고 신경써주셔서 감사드립니다.담당자에게 세밀히 교육을 시켰어야 하는데 그렇지 못한점을 지적해주셔서 다시 한번 뒤돌아볼수 있는 기회가 될수 있었던것 같습니다.요즘 신종코로나바이러스 확산을 방지하기위해 어제부터(1/30) 열화상 카메라를 이용하여 체온을 체크하고 있습니다.앞으로도 많은 관심 부탁드리고 안산병원도 신종바리러스 확산 방지및 예방이 될수 있도록 고객에게 좀더 세심하게 관리하도록 하겠습니다. <
169206,공개,무성의한 병원진료,2020-01-22,정**,대전병원,처리완료,"근로복지공단 당담자님께, 지금 글쓰는 시간이 22일 새벽 3시가 조금 지나가고 있습니다.  잠을 청하다 몸도 아프고 분한 마음도 가시지 않아 이렇게 글을  씁니다. 저는 지난 6월25일 출근길 낙상으로 허리골절 및 다리부위 부상으로  충남대병원에서 입원후, 동네병원에서 통원치료를 받다 근로복지공단의  권유로 대전병원에서 치료 및 재활을 하고 있는 산재환자입니다.   나름 열심히 치료도 받아, 몸도 많이 좋아지고 잃었던 체력도  회복되고 있어 희망을 가지고 치료를 하고 있지만, 치료과정에서  도저히 이해할 수 없는 부분이 있어 이렇게 글을 씁니다.   제가 복귀프로그램 8주를 진행하고 담당의사 면담을 하며 연장을 요청하자 연 장이 안된다며 프로그램을 종료하겠다고 합니다.  처음엔 환자의 상태가 어떻든 8주가 지나면 원래 연장이 안되나보다 했지만, 저 와 같이 직장복귀프로그램을 시작한 분은 연장이 되었다며 계속 프로그램을 하고  있는게 아닙니까?  더군다나 그분은 1년째 치료를 받고 있는 분이었습니다. 그래서 곰곰이 생각해보니, 이건 제 몸상태의 문제가 아니라 의사의 성의에 따라  환자가 차별을 받고 있다는 판단이 들었습니다. 이런 무성의하고 무책임한 행동이 이번이 처음이 아니니까요.  처음에 대전병원에 와서도 발목이 계속 아파 물리치료를 해달라고  하니 의사는 충남대에서 추가상병을 받던지 내가 치료하던지 알아서 하라고 해,  9월10일 추가상병을 받았지만 정작 의사는 치료가 필요없다며 아무런 치료오더를  내려주지 않아 물리치료실과 의사를 오가며 몇 번을 요청하고 심지어 병원 산재담당자를 찾아가 하소연을 해보았지만 아무런 조처가 없어 조금있으면 나아지겠지하며 포기를 했습니다.  하지만 지금도 발목이 아파 1월초 면담때 얘기하니 정형외과 진료를 받아보라는 말만 하더군요.  그리고 1대1치료때도 마지막 1주일을 담당물리치료사가 휴가를 내어서 혼자 운동치료를 하며 보내고 면담을 통해 연장을 요청하니 연장은 절대 안된다며 직장복귀프로그램을 하라고 하더군요.  제가 몸상태라도 좋으면 모르지만 지금 처방받은 약을 며칠전에 복용하지 않고 오후에 프로그램을  했더니 당장 몸이 아파 제 상태가 아직은 정상이 아니라는 걸 느꼈습니다. 21일은 프로그램이 끝나고 운동 측정한다고 허리를 숙이고 무리를 했더니 당장 허리와 엉덩이 부위가 아파 지금도 잠이 오질 않습니다. 환자의 말은 하나도 듣지않고 자기마음대로 처리하는 의사 때문에 제가 이런 고통을 감수해야 하는 것이 화가나고 마치 군대에서 선임병에게 고통받는데 어디하나 하소연 할곳이 없는 듯한 막막한 심정을 느낍니다. 정말 막막하네요. 제가 앞에 말씀드린 부분은 기록을 찾아보면 쉽게 확인할 수 있을 것입니다. 저는 지금 담당의사에게는 더 이상 진료를 받고싶은 마음도 의지도 없습니다. 공단측에서는 이런 정신적 육체적 고통을 받고 있는 환자의 심정을 헤아려 주셔서 합당한 조치를 해주시기를 부탁드립니다.",대전병원,"안녕하십니까? 근로복지공단 대전병원입니다.먼저 고객님의 힘든 상황에 대하여 매우 안타깝게 생각하며 진심으로 위로의 말씀을 드립니다.1. 직장복귀 프로그램은 근력, 지구력, 유연성 향상을 위한 것으로 시행 도중 고강도 근력 훈련이 환자의 통증 악화의 요인으로 작용할 가능성이 높기 때문에 프로그램 연장은 현재 환자가 호소하는 통증에 도움이 되지 않을 것으로 보입니다. (실제로 통증의 악화로 프로그램 중단하는 경우가 많음.)2. 직장복귀 프로그램 실시 후 2020.1.21 시행한 작업능력 평가 결과, 작업 요구 무게 초과 달성 및 지구력에서 우월한(superior) 것으로 평가되었고, 시작 전 평가와 비교 시 근력 호전보이고 있으며, 작업요구도 역시 이상 달성한 상태로 프로그램 연장의 근거가 없습니다. (작업강화훈련은 동시에 12명 실시가능하며, 현재 대기자 6인 있음.) 기타 궁금한 사항이 있으시면 근로복지공단 대전병원 의료질관리실 김봉심 차장(042-670-5447)에게 연락주시면 친절히 안내 해 드리도록 하겠습니다. 감사합니다. "
167688,공개,산재 가능 여부 및 신청방법,2019-12-16,김**,콜센터1,처리완료,전 출퇴근을 전동킥보드를 이용하여 합니다  사고는 퇴근을 하다가 발생을 하였습니다  회사는 (주)고성엔지니어링이며 그날은 작년에 회사에서 받은 30만원의 상품권을 가지고 이마트에 가서 필요한 생필품을 사려고 했습니다 이마트는 동탄에 있는 것이 집으로 가는 길에서 좀 가까웠기때문에 이용을 하려고 가게 되었습니다 하지만 가던 도중에 전동킥보드의 목부분이 부러지면서 전 넘어지고 구르게 되었고  타박상과 더불어 진단결과 발목골절 및 인대파열을 격게 되었습니다  그후 제일 최근에 통화를 한 친구에게 전화를 걸어 현재상황을 말을 하게 되었고 지도로 사고 위치를 찍어서 보내줬습니다 그후 핸드폰의 배터리가 없어서 전화는 꺼졌습니다.  친구는 와줬고 택시를 타고 한림대의 응급실을 갔습니다  현재는 당시 사진과 위치사진 킥보트가 부러진 사진 소견서등이 준비가 되어있습니다  이용하려고 했던 루트는 회사 앞쪽에는 차가 많아서 항상 가던길인 차없는 도로로 간뒤 돌아서 차가 없는 길로 이동해서 이마트 동탄점에 들려서 생필품을 구매 후 병점역을 통해 혹은 서동탄을 통해 지하철을 이용하여 집을 가고자 했습니다 집은 화서역근처입니다   혹시 산재가 가능할까요??  꼭 좀 도움을 부탁드립니다  신청방법도 부탁드립니다  출퇴근전용으로요 자세하게,콜센터1,"고객님 안녕하십니까근로복지공단 콜센터입니다. 먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다. 고객님께서 문의하신 내용 관련 2019.12.17 17:07 경 유선으로 출퇴근재해 관련 내용 안내드렸으며, 통화내용을 답변을 갈음하도록 하겠습니다. [답변요약]★ 업무상 재해(출퇴근재해)의 인정 기준   1. 산업재해보상보험법 제37조(업무상의 재해의 인정기준) “근로자가 다음 각 호의 어느 하나에 해당하는 사유로 부상·질병 또는 장해가 발생하거나 사망하면 업무상의 재해로 보며, 다만 업무와 재해 사이에 상당인과관계가 없는 경우에는 그러하지 아니한다.”       2. 특히 출퇴근 재해는 ① 사업주가 제공한 교통수단이나 그에 준하는 교통수단을 이용하는 등 사업주의 지배관리 하에서 출퇴근하는 중 발생한 사고 ② 그 밖에 통상적인 경로와 방법으로 출퇴근하는 중 발생한 사고로 규정하고 있으며, ②항의 사고 중에서 출퇴근 사고 경로 일탈 또는 중단이 있는 경우에는 해당 일탈 또는 중단 중의 사고 및 그 후의 이동 중의 사고에 대하여는 출퇴근 재해로 보지 아니하나 일탈 또는 중단이 일상생활에 필요한 행위로서 대통령으로 정하는 7가지 사유가 있는 경우에는 출퇴근 재해로 인정될 수 있습니다.   ★ 신청서식 및 방법 - 신청서식: ①요양급여 신청서 + 의사소견서(신청서 내 별지 제3호), 출퇴근재해 발생신고서(제 3자가 있는 경우 출퇴근재해 발생신고서 내 제3자 행위에 따른 재해발생신고서_서약서도 필요함)서식 다운로드 : 근로복지공단 홈페이지(http://www.kcomwel.or.kr) 서식자료- 다운로드 또는 콜센터 통해 팩스/이메일 요청가능   ※위 서류 외에 담당자가 추가 구비서류 요청할 수 있으니 참고 바랍니다.   - 신청방법 : 사업장 소재지 관할 근로복지공단 지사로 팩스, 우편 또는 방문 신청(산재지정의료기관인 경우 원무과에서 대행접수 가능)  ★ 관할지사 찾기 : 근로복지공단 홈페이지(/www.kcomwel.or.k) (상단)공단소개 - 조직안내 - 지역본부 및 지사 메뉴에서 확인 또는 콜센터 통해 지사 확인가능(재활보상1부) 기타 궁금한 사항이 있으시면 근로복지공단 콜센터(☎1588-0075)로 전화 주시면 성심성의껏 답변해 드리겠습니다.  이용해 주셔서 감사합니다. 오늘도 행복한 하루 보내세요  ※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료 등으로 사용할 수 없으니 참고하시기 바랍니다.   "
167588,공개,산재,2019-12-12,최**,안산병원,처리완료,안녕하세요 저는 수원사는 40살 남자입니다 다름아니라 제가 올해7월15일~8월15일까지 수원치킨집에서 주방보조로 일을했습니다 그리하여 올해8월10일 치킨집에세 일을하다 닭박스2박스들다가 허리삐긋하여 허리를다쳐 집에서 일주일동안 병언약국에서 약을먹다가 너무너무아파 동네개인한방병원 입원하여 이주입원하여 너무허리가 호전이심해서 한방병원에서 동수원병원으로 갔습니다 산재신청 했는데 염좌로는 승인12월9일날산재승인문자왔습니다 8월24일부터9월6일입원 9월7일부터10월4일까지통원승인놨습니다 혹시 그쪽병원에서 연장하고 추가신청이 가능한가요 입원도괜잖나요 제가 변명이 두가지가 나왔서요 개인한방병원에서 요추의긴장염좌 동수원병원에서 추간판장애및흉추이염좌긴장 요추의염죄긴장 이라고 나왔습니다 여태까지 4월동안 제대로 안자서 밥도못먹고 누워만 있서야합니다 통증도심하고 다리까지 찌리찌리 아프고요 재활치료도필요합니다 제대로앉기가 힘들러요 부탁드립니다 제가 산재가처음이라 아무것도모릅니다 부탁드립니다 근록복지공단에서는 연장하고 추가로올리라고 하더라고요 그제근로복지공단 담당자하고 통화했습니다 제발부탁드립니다^^,안산병원,환자분과 직접 통화하여 병원 진료 권유드린 후 절차에 대한 설명드림
167066,공개,작업환경측정과 특수건강진단은 직업성관...,2019-11-25,윤**,동해병원,처리완료,수고많으십니다.  연말이 되어가면 근로복지공단의 인사 정책에 대해 불안한 1인입니다.  저는 사업장 환경안전 실무자로 동해병원과 긴밀한 업무 협력관계입니다.  1.  특수건강진단 담당자들을 그만 로테이션 시켜주십시요.  연말이면 특수건강진단팀에서 일하는 담당자들이나 보건행정 담당자도 다 로테이션을  해버리니 매년 초에는 똑같은 이야기 똑같은 실수 똑같은 업무를 저도 같이 하게 됩니다.  특수건강진단업무 데스트에 계신 담당자들이 그냥 일하는게 아닙니다.  매년 바뀌는 법령을 테두리로 검진 트랜드로 알아야하고 사업장과의 소통이 아주 중요한 자리이며  이것은 직업성 관련 질환을 파악하는 시작이 됩니다.  보건행정이나 특수건강진단파트에 계신 분들이 일을 못해서가 아니라 업무인수인계를 해도  그 법령의 해석이나 일을 함에 있어 매년 초에 괴로울만큼 힘이 듭니다.  2.  측정기사를 늘여주시고 처우를 개선 해주십시요.  근골격계 유해요인 조사 등 보건대행을 하는 곳에서 해당 측정기사들 보면 안스럽기까지 합니다.  플라스틱 접이식 카트 등 좋은 것들이 많은데 왜 그 무거운 가방들을 들고다니게 하는지 이해가 안갑니다.  해당 사업장에는 오는 길에 차가 고장이 나서 측정하러 오지 못한 경우도 있는데 차량도 굉장히 노후되어 있고 정기 점검을 지원해주지 않으시나요?   구획 내에 기관이 1곳 밖에 없어서 한번 날짜잡기도 어려운데 한번 놓치고 나니 다시 잡기도  너무 어렵습니다.  또한 한분이서 큰 사업장을 그 무거운 기계를 들고 다니는게 업무로드가 너무 많은거 같습니다.  타 지역이랑 비교하기는 어렵지만 비슷한 사업장 크기의 경우 두세명씩 나와서 끝내고  다른 사업장에 가고 하던데 여기는 혼자서 다 하고 있는게 정상은 아닌거 같습니다.  솔직히 측정 업체 불러놓고 사업장에서 담당자들이 안도와줄 수 없는 상황을 내부에서  연출하고 있는게 아닌가 생각됩니다.   근로복지공단은 산재 보상이 주로 치우쳐서 관리한다고 하셔도 너무도 잘 아시다시피 모든 안전보건환경은 예방조치가 우선입니다.  예방을 하기위해서는 업무환경과 투입인원이 필수 입니다. 안전보건이 그렇게 호락호락한 업무들이 아닙니다. 간호사와 위생기사들만의 전문적인 지식이나 경험이 필수인 분야입니다.  그 부분을 제발 간과하시지 마시고 기존의 훈련된 인력들이 힘들어거 떠나거나 업무 과로드로 지쳐서 나 떨어지지 않도록 제발 행적적인 처우 개선을 강력히 주장합니다.,동해병원," 저희 기관 홈페이지를 찾아 주심에 감사드립니다. 귀하께서 산업보건업무에 관심을 가지고 특수검진, 작업환경측정 담당자가 업무수행에 필요한 사항 등에 대하여 지적하여 주신점에 대하여 감사드립니다. 귀하의 고언은 산업보건사업 업무에 참고하여 사업장과 업무수행자들이 만족할 때까지 지속적 지원과 업무개선에 노력하겠습니다. 다시 한번, 우리기관 업무에 관심을 가져주신데 대해 감사드리며, 귀하의 건승을 기원합니다. "
164862,공개,산업재해조사표에 대해서 여쭤봅니다.,2019-08-30,고**,콜센터1,처리완료,산업재해조사표상의 산재관리번호와 사업개시번호의 차이에대해서 궁금합니다. 답변 부탁드리겠습니다.,콜센터1,"고객님 안녕하십니까?근로복지공단 콜센터입니다.먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다.고객님께 2019년 09월 2일 13:22분경 연락 드려, 상담 등록하신 내용에 대해 답변을 드렸으며, 통화 내용으로 답변을 갈음하고자 합니다.상담내용 간략히 전달드리니 참고바랍니다.▽ 관리번호사업자등록번호로 산재보험에 가입을 하는경우 부여됩니다. ▽ 개시번호「고용보험 및 산업재해보상보험의 보험료징수 등에 관한 법률」에 따라 일괄적용을 받은 사업의 사업주는 그 각각의 사업 개시 사실을 공단에 신고하여야 하며, 이에 따라 산재보험 사업개시번호가 각각 부여되고 있습니다. 그리고 산재보험 사업개시번호는 해당 사업장일 경우만 조회가 가능함을 추가적으로 알려드립니다.기타 궁금한 사항이 있으면  근로복지공단 콜센터(☏1588-0075)로 문의하여 주시기 바랍니다.날씨가 많이 쌀쌀합니다. 늘 건강유의하시고 고객님의 가정에 따뜻함과 포근함이 가득 넘치길 바라겠습니다.  이용해 주셔서 감사합니다.※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료등으로 사용할 수 없으니 참고하시기 바랍니다. "
163969,공개,산재보험 자격,2019-07-22,임**,콜센터1,처리완료,"안녕하세요,  산재보험 자격에 대해 문의 드립니다.    2019년 6월 17일 식중독에 걸려, 산재 보험을 신청하여 합니다. 하지만 당시 회사 사정상 오래 쉴수없는 직업군이라 치료후 다음날 바로 출근을 하였습니다.  일반적으로 산재보험 자격에 대해 알아보니, ""4일이상 치료를 받은 경우"" 로 확인했는데, 제 사례가 산재 보험 받을 수 있는 자격이 되는지 문의 드립니다.   아래는 자세한 경위 입니다.   날짜: 2019년 6월 17일 질병 장소: 회사 근처 식당(300미터 내에 위치) 시간: 점심시간 오후 12시 30분에 식사 질병명: 식중독에  기타: 병원에 입원을하고 진단서, 영수증 모두 소지하고 있습니다.",콜센터1,"고객님 안녕하십니까?근로복지공단 콜센터입니다.   먼저 고객님의 상황에 대하여 매우 안타깝게 생각하며, 진심으로 위로의 말씀을 드립니다. 문의하신 내용에 대해서는 2019년 7월 23일 15시 44분경 유선상 답변을 드렸으며, 산재신청 방법에 대해서 답변 남겨드립니다. ★ 산재 신청 방법 ○ 신청서식 : 요양급여 및 휴업급여(최초분)신청서(초진소견서 첨부) * 서식자료 : 근로복지공단홈페이지(https://www.kcomwel.or.kr) → (좌측 상단)검색 돋보기 옆 서식자료에서 해당 서식을 검색 후 사용하시면 됩니다.○ 제출기관 : 사업장 관할지사 재활보상부                   (서울남부지사 재활보상부 팩스번호 0502-216-2101 / 연락처 : 02-2165-3243) * 지사 찾기 : 근로복지공단홈페이지 → (좌측 상단) 공단소개 → 조직안내  → 지역본부 및 지사에서 사업장 관할 지역본부 및 지사 연락처 등을 상세하게 검색 가능합니다. ※ 요양급여 신청을 사업장 관할 우리 공단 소속기관 재활보상부에 제출하면 해당 소속기관에서 구체적인 사실관계 조사 확인과 관련서류 검토 등으로 업무상 재해조사 후 최종 산재 여부를 결정하고 있습니다. 사이버 상담실에서는 일반적인 기준 사항에 대해서 상담드리는 곳으로서 개별적인 사안에 대하여 구체적인 사실관계 조사 확인과 관련서류 검토 없이 업무상 재해의 가능 여부를 직접적으로 판단까지는 내려드릴 수 없음을 양해해 주시기 바랍니다. 고객님의 빠른 쾌유를 바라며, 기타 궁금한 사항이 있으시면 사업장 관할 근로복지공단 지역본부 및 지사 재활보상부로 문의하시거나 근로복지공단 콜센터(☎1588-0075, 상담사연결 ㉧ + ②)로 전화를 주시면 성심 성의껏 답변해 드리겠습니다. 이용해 주셔서 감사합니다. 오늘도 행복한 하루 보내시길 바랍니다. ※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료 등으로 사용할 수 없으니 참고하시기 바랍니다."
161283,공개,산재 승인요청,2019-04-16,박**,콜센터1,처리완료,산재 승인이 ？는지 여부를 알고싶습니다. 병원에 입원하고 퇴원후 승인여부가 확인되지 않았습니다.,콜센터1," 근로복지공단 콜센터입니다.   먼저 고객님의 힘든 상황에 대하여 매우 안타깝게 생각하며, 진심으로 위로의 말씀을 드립니다.고객님께서 문의주신 산재승인 여부는 19.04.17 10:58분경 유선 안내해드렸습니다.고객님 정보로 확인 결과 접수는 되어 있지만 아직 산재승인은 되지 않은 걸로 확인됩니다. 자세한 처리내역이나 현재 진행상태등이 궁금하시다면 문자 발송해드린 대구지역본부 재활보상부 담당자와 통화해보시면 되겠습니다.  기타 궁금한 사항이 있으시면 근로복지공단 콜센터(☎1588-0075)로 전화를 주시면 성심 성의껏 답변해 드리겠습니다. 이용해 주셔서 감사합니다. 오늘도 행복한 하루 보내시길 바랍니다. ※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료등으로 사용할 수 없으니 참고하시기 바랍니다. "
160115,공개,응급실 간호사 최악,2019-03-12,장**,정선병원,처리완료,3월 11일 월요일 오후 정선병원 응급실 근무하신 간호사님.(덩치 약간 있고 염색머리). 성함은 모르겠지만 위생관념도 없고 불친절하고 일하기 싫어하고 의사선생님한테도 텃새부리고  제가 계속 갈수밖에 없어서 구체적으로 상황은 말 못해도 진짜 화나네요. 정선병원 의사쌤들 간호사분들 다들 너무너무 착하고 좋으신데.. 그분은 정말 욕나오네요.,정선병원,"안녕하십니까?  근로복지공단 정선병원 원무차장 권동식입니다.평소 정선병원을 이용하시는 고객으로서 관심 가져주심에 감사드립니다.귀하께서 제기하신 3. 11.(월) 오후 정선병원 응급실 간호사(덩치 약간 있고, 염색머리)에 대하여 파악해 본 바는  해당하는 사람이 없으며, 자세한 상황을 파악하고자  귀하의 연락처(010-3439-1371)로 수차례 전화를 드렸으나 수신이 안되어 문자로 답변하였음에도 응답이 없습니다.귀하께서 원무차장 직통[033-560-7104] 전화 주시면 귀하께서 지적하신 민원에 대하여 개선하도록 최선을 다하겠습니다.귀하의 정선병원 발전을 위한 관심과 의견 주심에 다시한번  감사드리며 연락주시기 바랍니다.항상 귀하의 건강과 행운을 기원드립니다.     2019. 3. 18.      근로복지공단 정선병원  경영지원부  원무차장 권동식 올림. "
159068,공개,회사 업무 중 얼굴을 다쳐 봉합수술을...,2019-02-12,최**,콜센터1,처리완료,다름이 아니라 3주전에 회사 업무중 철 파편에 맞어서 코 밑 3센치 가량 봉합수술을 하였습니다.  부상시 산재 접수를 하였다가 회사에서 일반 처리를 요구 하여 일반처리로 진행 중  흉터 추상 치료비용이 발생하니. 회사에서 산재처리 하라고 하는데...  상담. 부탁드립니다.  지금 상태는 실밥제거 후 살이 아 아문상태입니디.,콜센터1,"고객님 안녕하십니까?근로복지공단 콜센터입니다.먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다.부상 당시 산재 접수를 하셨다가 다시 일반처리로 진행중이라고 하셨는데부상 당시 산재 접수해주신 내역이 고객님 요청에 의해 반려된 상태라면 다시 산재신청을 해주시면 됩니다.그리고 산재 접수해주신 내역을 별도로 취소하지 않으셨다면, 고객님의 사업장을 관할하는 지사담당자에게 문의 시 자세한 상담 받아보실 수 있습니다.사업장 소재지 확인이 되지 않아 정확한 담당자를 알려드리지 못한 점 양해부탁드리며 담당자 확인은 근로복지공단 홈페이지 공단소개→조직안내→지역본부 및 지사에서 확인하실 수 있습니다.늘 힘내시고 빠른 쾌유를 바라겠습니다.   기타 궁금한 사항이 있으시면 근로복지공단 콜센터(☎1588-0075)로 전화를 주시면 성심 성의껏 답변해 드리겠습니다.이용해 주셔서 감사합니다.  ※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료등으로 사용할 수 없으니 참고하시기 바랍니다.   "
158684,공개,산재 업무 메뉴얼,2019-01-29,서**,콜센터1,처리완료,"안녕하십니까. 추운날씨 감기조심하세요  이번에 산재업무를 맡게 되었는데 모르는게 너무 많아 일일이 공단이나 선배들한테 전화로   물어볼수있는 처지도 아니구 하여. 이렇게 글을 올려봅니다.  산재업무관련 메뉴얼이 있는지, 진폐검진병원 추진중이라서   진폐검진 산재 메뉴얼이 있느지를 알고싶습니다.",콜센터1,고객님 안녕하십니까? 근로복지공단 콜센터입니다. 먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다.문의하신 내용은 19.01.29 15:20분경 유선 안내해드렸습니다.안내해드린 익산지사 진폐담당자분께 확인부탁드립니다. 기타 궁금한 사항이 있으시면 근로복지공단 콜센터(☎1588-0075)로 전화를 주시면 성심 성의껏 답변해 드리겠습니다. 이용해 주셔서 감사합니다. 오늘도 행복한 하루 보내시길 바랍니다. ※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료등으로 사용할 수 없으니 참고하시기 바랍니다.
157600,공개,주소변경 요청합니다,2018-12-28,김**,콜센터1,처리완료,밑에 바로물어봤다가 비밀번호잊어버려서 다시씁니다. 주소변경 여기서 신청할게요  특수형태근로종사자 입직확인통지서가 날라왔는데 앞으로 통지서받을주소를 변경하고싶습니다.  제이름은 김리나. 891018 사업장은 교원구몬입니다  원래 받을주소가 인천서구 원당대로 685번길30 풍림104동 102호였는데 (당하동풍림아이원 2차)  -->인천서구 가좌로 96번길 47 낙원아파트 나동 404호 로 바꿔주세요~  다음달부터 변경되는건가요? 여기서 변경안된다면 어떻게해야 주소이전할수있는지 알려주세요~,콜센터1,"고객님 안녕하십니까? 근로복지공단 콜센터입니다. 먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다.고객님께서 문의하신 특수형태근로종사 주소지 변경신고는서면으로 할 경우 공단 홈페이지 초기화면 '서식자료'에서  '특수형태근로종사자 산재보험관계 명세 변경신고서(종사자용)'을 다운로드 받아 작서성하신 후 사업장 관할 공단 지역본부(지사) 가입지원2부(가입지원부)에 팩스, 방문 또는 우편으로 제출하시거나인터넷으로 할 경우        공인인증서로 고용산재토탈서비스(http://total.kcomwel.or.kr)에 회원으로 가입 후민원접수/신고>특수형태근로종사자>특수형태근로종사자 산재보험관계 명세병경신고 에서 접수하여도 됩니다.사업장 관할 공단 지역본부(지사) 팩스번호 등은 공단홈페이지(http://www.kcomwel.or.kr)>공단소개>조직안내>지역본부 및 지사 에서 검색하시면 됩니다. 기타 궁금한 사항이 있으시면 근로복지공단 콜센터(☎1588-0075)로 전화를 주시면 성심 성의껏 답변해 드리겠습니다. 이용해 주셔서 감사합니다. 오늘도 행복한 하루 보내시길 바랍니다. ※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료등으로 사용할 수 없으니 참고하시기 바랍니다.                         "
